Name,Locus_tag,Fru_1,Glu_1,Gly_1,Glucon_1,Mal_1,Pyr_1,M.G_1,LBexp_1,SMMPr_1,S0_1,G.S_1
ribU ,BSU23050,11.4185818182,11.3746090909,11.2971818182,11.1474909091,10.4861636364,11.3901727273,11.2369545455,10.9365909091,10.8669636364,11.6700909091,11.1668181818
ypzE,BSU23060,13.4546545455,13.4012636364,13.7621181818,13.3697636364,12.2055636364,13.4191,12.6902090909,12.6515,12.8950818182,13.1089727273,13.1837727273
serA,BSU23070,15.7553454545,15.6026727273,14.1990818182,15.2785181818,15.4171636364,14.9009727273,15.5611454545,12.8698818182,15.3122181818,13.2127545455,15.7553454545
aroC,BSU23080,10.7831727273,11.1147090909,10.0665727273,10.8774727273,10.0511272727,10.7219090909,11.0813545455,11.0767818182,10.8004,10.4530454545,10.7872636364
rsiX,BSU23090,12.5553272727,13.0556454545,12.1036090909,12.7610272727,11.8330090909,13.2824818182,12.8986909091,13.5031545455,13.5642090909,12.2245,12.8134090909
sigX,BSU23100,13.1054363636,13.1668545455,12.7610272727,12.6927545455,11.9346272727,13.3580909091,12.6569909091,13.6871090909,13.9479545455,12.4902909091,13.0687090909
resE,BSU23110,13.0210909091,12.4742272727,12.7994545455,12.8150727273,13.7435909091,12.6633909091,13.4493272727,13.2155727273,12.3888090909,14.8174454545,12.9297909091
resD,BSU23120,12.2657909091,11.8396818182,12.3594,12.3825090909,13.2329727273,11.9773272727,12.7026181818,12.7347636364,12.0040727273,14.0725545455,12.3888090909
resC,BSU23130,12.1458545455,11.1537818182,11.4663727273,11.3917636364,12.7713727273,11.1370545455,12.1074181818,12.4324454545,11.1199727273,13.5183363636,12.0243090909
resB,BSU23140,13.0944181818,12.1338181818,12.3485727273,12.4064545455,13.4493272727,12.1036090909,13.2869818182,13.2916363636,11.8206272727,13.8023090909,13.1027363636
resA,BSU23150,13.1668545455,12.0605272727,12.4968636364,11.9133636364,12.6835181818,11.8636909091,12.9989363636,13.2329727273,11.8793818182,13.4940909091,13.2916363636
spmB,BSU23170,7.7194181818,7.3904181818,7.1079818182,7.7344272727,7.4206272727,10.7346909091,7.2518363636,8.2326727273,7.8123272727,7.8229090909,7.6041272727
spmA,BSU23180,7.9768636364,7.5881454546,7.1496454546,7.9952818182,7.8023909091,11.2607545455,7.3297636364,8.6199,8.1482181818,7.9657636364,7.8857818182
dacB,BSU23190,8.0204181818,7.9969090909,7.4988,8.6157818182,8.0679545455,11.4554636364,7.8011454546,9.0702636364,8.2906181818,8.1047090909,8.1292363636
ypuI,BSU23200,10.9704272727,11.0073909091,9.7009636364,10.7123727273,10.0174909091,11.4439363636,10.7061818182,11.8330090909,10.8157909091,10.6817818182,10.5981090909
scpB ,BSU23210,11.6255636364,12.0354818182,10.5589545455,11.6599181818,11.1419909091,10.8917454545,11.8190363636,13.0944181818,11.3837363636,11.4872545455,12.0638363636
scpA,BSU23220,11.8351454545,11.9523181818,10.2651,11.2894818182,10.6125909091,11.0848545455,11.5411818182,12.7971909091,11.4936727273,11.5161545455,12.0550818182
ypuF,BSU23230,9.4749181818,9.7233090909,8.7935909091,9.4476181818,8.5044727273,9.4903545455,9.9276363636,9.8774818182,8.9245181818,8.7411090909,9.6862090909
ribT,BSU23240,13.9535363636,13.0210909091,13.484,12.9961272727,12.8883090909,13.7862090909,12.4742272727,12.1203363636,13.3601636364,13.1559909091,13.6004545455
ribH,BSU23250,12.3529727273,12.0702636364,13.2056363636,12.5636363636,12.6503090909,12.1143272727,12.2473181818,11.7361090909,12.0550818182,11.7440090909,12.4524545455
ribA,BSU23260,12.1057363636,11.8288636364,12.9539454545,11.8764818182,12.3349636364,11.4028363636,12.1734272727,11.5859363636,11.6062090909,11.5796727273,12.2336727273
ribE,BSU23270,12.2967909091,12.5155090909,13.0957818182,12.5664363636,12.7043272727,11.9300454545,12.7392090909,12.1009272727,12.1921454545,12.1596,12.5536363636
